State,Abbreviation,Region
Alabama,AL,Southern
Alaska,AK,Western
Arizona,AZ,Western
Arkansas,AR,Southern
California,CA,California
Colorado,CO,Western
Connecticut,CT,Northeastern
Delaware,DE,Southern
Florida,FL,Southern
Georgia,GA,Southern
Hawaii,HI,Western
Idaho,ID,Western
Illinois,IL,Midwestern
Indiana,IN,Midwestern
Iowa,IA,Midwestern
Kansas,KS,Midwestern
Kentucky,KY,Southern
Louisiana,LA,Southern
Maine,ME,Northeastern
Maryland,MD,Southern
Massachusetts,MA,Northeastern
Michigan,MI,Midwestern
Minnesota,MN,Midwestern
Mississippi,MS,Southern
Missouri,MO,Midwestern
Montana,MT,Western
Nebraska,NE,Midwestern
Nevada,NV,Western
New Hampshire,NH,Northeastern
New Jersey,NJ,Northeastern
New Mexico,NM,Western
New York,NY,Northeastern
North Carolina,NC,Southern
North Dakota,ND,Midwestern
Ohio,OH,Midwestern
Oklahoma,OK,Southern
Oregon,OR,Western
Pennsylvania,PA,Northeastern
Rhode Island,RI,Northeastern
South Carolina,SC,Southern
South Dakota,SD,Midwestern
Tennessee,TN,Southern
Texas,TX,Southern
Utah,UT,Western
Vermont,VT,Northeastern
Virginia,VA,Southern
Washington,WA,Western
West Virginia,WV,Southern
Wisconsin,WI,Midwestern
Wyoming,WY,Western